09.01 CB IL ETAIT UN SQUA 05/01/17 09.01.17, ,47.5, , ,9/1/2017
09.01 CB DEDE TZEFERAKOS 07/01/17 09.01.17, ,37.8, , ,9/1/2017
09.01 CB NO STRESS CAFE 06/01/17 09.01.17, ,21.5, , ,9/1/2017
09.01 CB PARIS MARKET 07/01/17 09.01.17, ,14.4, , ,9/1/2017
09.01 CB CARREFOURMARKET 06/01/17 09.01.17, ,15.63, , ,9/1/2017
09.01 PRLV SEPA SFR 09.01.17, ,33.32, , ,9/1/2017
09.01 PRLV SEPA DIRECTION GENERALE DES FINANCES PUBLIQUE 09.01.17, ,941, , ,9/1/2017
10.01 CB BP ST QUENTIN 09/01/17 10.01.17, ,49.48, , ,10/1/2017
11.01 CB RETRAIT DU 10/01 LCL PECQ (LE) 11.01.17, ,20, , ,11/1/2017
11.01 CB DELIVEROOFR 08/01/17 11.01.17, ,15, , ,11/1/2017
11.01 CB AMAZON PAYMENTS 09/01/17 11.01.17, ,11.99, , ,11/1/2017
11.01 CB ROUGE 10/01/17 11.01.17, ,10, , ,11/1/2017
11.01 CB AMAZON PAYMENTS 10/01/17 11.01.17, ,                    .                 9.95, , ,11/1/2017
12.01 CB CARREFOURMARKET 10/01/17 12.01.17, ,27.24, , ,12/1/2017
12.01 CB INDIGO PARIS 11/01/17 12.01.17, ,13.2, , ,12/1/2017
12.01 CB AMAZON PAYMENTS 09/01/17 12.01.17, ,29.97, , ,12/1/2017
12.01 CB AMAZON PAYMENTS 10/01/17 12.01.17, ,12.94, , ,12/1/2017
13.01 CB ARRET GALETTE 12/01/17 13.01.17, ,15, , ,13/1/2017
13.01 CB LOMMIS ALINE 12/01/17 13.01.17, ,7.7, , ,13/1/2017
13.01 CB ILE AUX SINGES 12/01/17 13.01.17, ,23.5, , ,13/1/2017
16.01 CB RETRAIT DU 14/01 PARIS CORVISART 16.01.17, ,30, , ,16/1/2017
16.01 CB CAFE HUGO 01 15/01/17 16.01.17, ,30, , ,16/1/2017
16.01 CB M GALLET THIERRY 15/01/17 16.01.17, ,23.7, , ,16/1/2017
16.01 CB UBER 14/01/17 16.01.17, ,11.75, , ,16/1/2017
16.01 CB ALEX FOOD 15/01/17 16.01.17, ,7.5, , ,16/1/2017
16.01 CB CARHARTT 14/01/17 16.01.17, ,189.3, , ,16/1/2017
16.01 CB LEE 14/01/17 16.01.17, ,17.5, , ,16/1/2017
16.01 CB BOUIGAGANE 15/01/17 16.01.17, ,6.15, , ,16/1/2017
16.01 CB CARREFOURMARKET 13/01/17 16.01.17, ,20.07, , ,16/1/2017
16.01 CB AIRBNB 13/01/17 16.01.17, ,229, , ,16/1/2017
17.01 CB DIESEL STORE LE 14/01/17 17.01.17, ,130, , ,17/1/2017
18.01 CB RETRAIT DU 17/01 PARIS CORVISART 18.01.17, ,20, , ,18/1/2017
18.01 CB RELAIS NOIREAUX 17/01/17 18.01.17, ,49.51, , ,18/1/2017
18.01 CB CARREFOURMARKET 16/01/17 18.01.17, ,23.53, , ,18/1/2017
18.01 CB A2PAS BLANQ MA 17/01/17 18.01.17, ,12.51, , ,18/1/2017
19.01 CB FRANPRIX SARJEL 18/01/17 19.01.17, ,33.39, , ,19/1/2017
19.01 CB RELAIS NOIREAUX 18/01/17 19.01.17, ,8.75, , ,19/1/2017
20.01 CB BERRI-WASHINGTON 19/01/17 20.01.17, ,2.2, , ,20/1/2017
20.01 CB REL.NEUILLY S/SE 19/01/17 20.01.17, ,93.08, , ,20/1/2017
23.01 CB DELIVEROOFR 19/01/17 23.01.17, ,15, , ,23/1/2017
23.01 CB UBER 22/01/17 23.01.17, ,6, , ,23/1/2017
23.01 CB BERRI-WASHINGTON 22/01/17 23.01.17, ,2.2, , ,23/1/2017
23.01 CB SHELL 3060 22/01/17 23.01.17, ,40.24, , ,23/1/2017
23.01 CB BISTROT CHOCOL 22/01/17 23.01.17, ,23.75, , ,23/1/2017
23.01 CB INDIGO NANCY 20/01/17 23.01.17, ,4.4, , ,23/1/2017
23.01 CB LE MOLLY MALONE 22/01/17 23.01.17, ,32.5, , ,23/1/2017
25.01 CB CARREFOURMARKET 23/01/17 25.01.17, ,43.52, , ,25/1/2017
25.01 CB ILE AUX SINGES 24/01/17 25.01.17, ,23.5, , ,25/1/2017
25.01 VIREMENT ADIDOR VOITURES 25.01.17, ,184.06, , ,25/1/2017
26.01 CB Sanef 1701-2301 22/01/17 26.01.17, ,37.4, , ,26/1/2017
26.01 COTISATION MENSUELLE CARTE 4162 28.01.17, ,                 3.55                    ., , ,26/1/2017
27.01 CB DELIVEROOFR 25/01/17 27.01.17, ,22.5, , ,27/1/2017
27.01 CB LOMMIS ALINE 26/01/17 27.01.17, ,13.7, , ,27/1/2017
27.01 PRLV SEPA SFR FIXE ADSL 27.01.17, ,41.23, , ,27/1/2017
30.01 CB RETRAIT DU 28/01 30.01.17, ,21, , ,30/1/2017
30.01 CB REL.PORTE CHATIL 27/01/17 30.01.17, ,48.5, , ,30/1/2017
30.01 CB VAPOSTORE 28/01/17 30.01.17, ,30.21, , ,30/1/2017
30.01 CB CARREFOURMARKET 26/01/17 30.01.17, ,40.18, , ,30/1/2017
30.01 CB M GALLET THIERRY 29/01/17 30.01.17, ,27.68, , ,30/1/2017
30.01 CB IL ETAIT UN SQUA 28/01/17 30.01.17, ,53.6, , ,30/1/2017
30.01 CB BOUIGAGANE 29/01/17 30.01.17, ,5.25, , ,30/1/2017
30.01 CB CHEZ LES FILLES 28/01/17 30.01.17, ,22.5, , ,30/1/2017
30.01 CB RATP 28/01/17 30.01.17, ,14.5, , ,30/1/2017
30.01 CB LE NEMROD 28/01/17 30.01.17, ,42, , ,30/1/2017
30.01 CB LE PETIT MARCHE 27/01/17 30.01.17, ,96, , ,30/1/2017
30.01 LCL A LA CARTE 30.01.17, ,0.25, , ,30/1/2017
02.02 CB RETRAIT DU 01/02 LCL PARIS RUE DE 02.02.17, ,40, , ,2/2/2017
02.02 CB LOMMIS ALINE 01/02/17 02.02.17, ,5.8, , ,2/2/2017
02.02 CB RELAIS NOIREAUX 01/02/17 02.02.17, ,3, , ,2/2/2017
02.02 CB WOK LIN 01/02/17 02.02.17, ,31.6, , ,2/2/2017
02.02 CB CARREFOURMARKET 31/01/17 02.02.17, ,55.73, , ,2/2/2017
02.02 CB EUROSTAR INTERNA 31/01/17 02.02.17, ,207, , ,2/2/2017
02.02 CB ILE AUX SINGES 01/02/17 02.02.17, ,49, , ,2/2/2017
03.02 CB RETRAIT DU 02/02 LCL PARIS ITALIE 03.02.17, ,100, , ,3/2/2017
03.02 CB SUPER U 02/02/17 03.02.17, ,39.09, , ,3/2/2017
06.02 CB GLADINES 04/02/17 06.02.17, ,42.4, , ,6/2/2017
06.02 CB L'ESSENTIEL B. 04/02/17 06.02.17, ,5.8, , ,6/2/2017
06.02 CB UBER 03/02/17 06.02.17, ,6, , ,6/2/2017
06.02 CB RELAIS DES LIONS 03/02/17 06.02.17, ,43.66, , ,6/2/2017
06.02 CB ILE AUX SINGES 03/02/17 06.02.17, ,32, , ,6/2/2017
06.02 CB SAEMES 05/02/17 06.02.17, ,6, , ,6/2/2017
06.02 CB WOK LIN 03/02/17 06.02.17, ,15.8, , ,6/2/2017
06.02 CB CAFE LE REFLET 05/02/17 06.02.17, ,11, , ,6/2/2017
06.02 CB UBER 04/02/17 06.02.17, ,6.73, , ,6/2/2017
07.02 CB BANDCAMP RNS 04/02/17 07.02.17, ,11.4, , ,7/2/2017
07.02 CB LOMMIS ALINE 06/02/17 07.02.17, ,5.8, , ,7/2/2017
